trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'a': 0.0045, 'e': 0.6760420504946996}",20,10,5.812906542375605,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.0045, 'e': 0.6730066959373865}",20,0,-44.20538551310349,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.0045, 'e': 0.669984969788664}",20,8,-49.34183649799565,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
90,False,"{'a': 0.0045, 'e': 0.6669768108584744}",20,0,-54.927346588936324,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
91,False,"{'a': 0.0045, 'e': 0.6639821582314965}",25,17,-2.4307366570179596,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.0045, 'e': 0.6610009512659125}",25,0,-53.39794309936595,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
93,False,"{'a': 0.0045, 'e': 0.6580331295921792}",25,4,-32.76219383854848,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 0}",1
94,False,"{'a': 0.0045, 'e': 0.6550786331118063}",20,0,-41.72274414346492,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
95,False,"{'a': 0.0045, 'e': 0.6521374019961392}",30,0,-77.54597618416497,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
96,False,"{'a': 0.0045, 'e': 0.6492093766851474}",30,0,-50.92003625441609,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
97,False,"{'a': 0.0045, 'e': 0.6462944978862182}",20,0,-66.75679063780676,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
98,False,"{'a': 0.0045, 'e': 0.6433927065729562}",25,19,2.636538615492138,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.0045, 'e': 0.6405039439839884}",25,7,-28.4832535533172,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 0}",1
100,False,"{'a': 0.0045, 'e': 0.6376281516217733}",25,0,-144.08382450604904,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
